_id,isPb,wpm,acc,rawWpm,consistency,charStats,mode,mode2,quoteLength,restartCount,testDuration,afkDuration,incompleteTestSeconds,punctuation,numbers,language,funbox,difficulty,lazyMode,blindMode,bailedOut,tags,timestamp
67a393d48049ddd215b2102a,,49.58,92.11,60.78,81.67,62;3;0;0,time,15,-1,0,15.01,0,0,false,false,english,none,normal,false,false,false,,1738773460000
67a393c28049ddd215b20ecb,,43.19,86.3,58.39,78.96,54;5;1;0,time,15,-1,0,15,0,0,false,false,english,none,normal,false,false,false,,1738773442000
67a25c5b8049ddd215a3e423,,47.2,87.84,59.2,69.07,59;6;0;1,time,15,-1,0,15,0,0,false,false,english,none,normal,false,false,false,,1738693723000
67a25c238049ddd215a3e05a,,44.76,90.91,52.76,61.27,56;4;0;0,time,15,-1,0,15.01,0,0,false,false,english,none,normal,false,false,false,,1738693667000
67a25bee8049ddd215a3dc9c,,36.78,84.51,56.77,69.66,46;6;0;0,time,15,-1,0,15.01,0,0,false,false,english,none,normal,false,false,false,,1738693614000
67a25a688049ddd215a3c239,,38.38,84.72,57.56,74.54,48;6;0;0,time,15,-1,0,15.01,0,0,false,false,english,none,normal,false,false,false,,1738693224000
67a25a578049ddd215a3c0f0,,43.2,83.78,59.2,73.87,54;7;1;1,time,15,-1,1,15,0,2.61,false,false,english,none,normal,false,false,false,,1738693207000
67a25a2c8049ddd215a3bde7,,53.57,93.67,63.17,83.79,67;3;0;0,time,15,-1,0,15.01,0,0,false,false,english,none,normal,false,false,false,,1738693164000
67a259cf8049ddd215a3b7cf,,36,84.85,52.8,74.02,45;6;1;0,time,15,-1,0,15,0,0,false,false,english,none,normal,false,false,false,,1738693071000
67a259be8049ddd215a3b6bb,,47.19,92.65,54.39,72.25,59;3;0;0,time,15,-1,1,15,0,2.61,false,false,english,none,normal,false,false,false,,1738693054000
67a259a98049ddd215a3b56b,,25.57,77.61,53.55,78.58,32;9;0;0,time,15,-1,0,15.02,0,0,false,false,english,none,normal,false,false,false,,1738693033000
67a259988049ddd215a3b453,,25.58,75.34,58.35,78.96,32;10;2;1,time,15,-1,0,15.01,0,0,false,false,english,none,normal,false,false,false,,1738693015000
67a259878049ddd215a3b348,,37.57,75.71,55.95,69.03,47;11;2;0,time,15,-1,0,15.01,0,0,false,false,english,none,normal,false,false,false,,1738692999000
67a259768049ddd215a3b220,,43.99,87.01,61.59,81.36,55;6;0;0,time,15,-1,0,15,0,0,false,false,english,none,normal,false,false,false,,1738692982000
67a259658049ddd215a3b0ff,,30.39,81.33,59.98,78.09,38;7;1;0,time,15,-1,0,15.01,0,0,false,false,english,none,normal,false,false,false,,1738692965000
679a14a0ba6f758164295879,,24.78,77.78,50.35,68.42,31;8;0;0,time,15,-1,0,15.01,0,0,false,false,english,none,normal,false,false,false,,1738151072000
679a148fba6f7581642957b8,,19.99,75.41,48.77,58.43,25;8;1;0,time,15,-1,1,15.01,1,3.74,false,false,english,none,normal,false,false,false,,1738151055000
679a1477ba6f75816429569f,,39.18,80.3,52.77,74.02,49;9;1;1,time,15,-1,0,15.01,0,0,false,false,english,none,normal,false,false,false,,1738151031000
679a13d6ba6f758164294fe3,,49.59,94.52,58.39,78.96,62;2;0;0,time,15,-1,0,15,0,0,false,false,english,none,normal,false,false,false,,1738150870000
6798afa9ba6f75816418d7b1,,42.36,92.19,51.16,71.02,53;3;0;0,time,15,-1,1,15.01,0,5.55,false,false,english,none,normal,false,false,false,,1738059689000
6798af92ba6f75816418d6b4,,40.78,86.96,55.17,66.52,51;5;1;1,time,15,-1,1,15.01,0,9.38,false,false,english,none,normal,false,false,false,,1738059666000
6798af09ba6f75816418d0a5,,38.39,90.48,50.39,54.71,48;4;0;0,time,15,-1,2,15,0,13.83,false,false,english,none,normal,false,false,false,,1738059529000
6798aee6ba6f75816418cf45,,46.35,91.25,63.94,78.71,58;2;2;0,time,15,-1,0,15.02,0,0,false,false,english,none,normal,false,false,false,,1738059494000
67951f7249deeea627bd19ef,,39.97,82.19,58.36,74.15,50;9;0;1,time,15,-1,0,15.01,0,0,false,false,english,none,normal,false,false,false,,1737826162000
67951f6149deeea627bd193f,,32.79,85,47.99,71.13,41;5;0;1,time,15,-1,0,15,0,0,false,false,english,none,normal,false,false,false,,1737826145000
67951f4f49deeea627bd187b,,31.98,81.25,51.17,62.26,40;7;1;0,time,15,-1,0,15.01,0,0,false,false,english,none,normal,false,false,false,,1737826127000
67951f3a49deeea627bd179e,,38.38,78.95,60.76,74.55,48;8;3;0,time,15,-1,0,15.01,0,0,false,false,english,none,normal,false,false,false,,1737826106000
678f6ad349deeea6277c5da3,,47.99,94.29,55.99,81.37,60;2;0;0,time,15,-1,0,15,0,0,false,false,english,none,normal,false,false,false,,1737452243000
678910dd49deeea6273b1c2e,,42.35,89.86,55.13,80.88,53;4;0;0,time,15,-1,0,15.02,0,0,false,false,english,none,normal,false,false,false,,1737035997000
677c24be33ee27aa12a5deb5,,39.18,93.44,48.78,68.3,49;2;0;0,time,15,-1,4,15.01,0,13.54,false,false,english,none,normal,false,false,false,,1736189118000
677c249933ee27aa12a5dcfc,,33.58,85.71,55.97,74.45,42;5;1;0,time,15,-1,0,15.01,0,0,false,false,english,none,normal,false,false,false,,1736189081000
676c0b5998949642937c473d,,41.56,91.43,55.95,81.37,52;3;0;0,time,15,-1,2,15.01,0,2.22,false,false,english,none,normal,false,false,false,,1735134041000
676b12c698949642937521bf,,37.58,90.48,50.38,61.92,47;3;1;0,time,15,-1,2,15.01,0,2.57,false,false,english,none,normal,false,false,false,,1735070406000
676b12ac9894964293752108,,49.57,94.44,57.57,84.41,62;2;0;0,time,15,-1,0,15.01,0,0,false,false,english,none,normal,false,false,false,,1735070380000
676b129b9894964293752089,,20.78,80.7,45.55,57.93,26;6;0;1,time,15,-1,1,15.02,0,14.88,false,false,english,none,normal,false,false,false,,1735070363000
676aebc2989496429373c46b,,45.6,92.75,55.2,82.61,57;3;0;0,time,15,-1,0,15,0,0,false,false,english,none,normal,false,false,false,,1735060418000
676aebb1989496429373c3bf,,44.74,91.3,55.13,79.3,56;4;0;0,time,15,-1,1,15.02,0,4.37,false,false,english,none,normal,false,false,false,,1735060401000
676aeb9a989496429373c2cd,,44.78,89.47,60.78,83.15,56;5;0;0,time,15,-1,1,15.01,0,3.97,false,false,english,none,normal,false,false,false,,1735060378000
6766f95d1df1c69f158bc5eb,,51.18,97.06,54.38,80.49,64;1;0;0,time,15,-1,1,15.01,0,3.06,false,false,english,none,normal,false,false,false,,1734801757000
